# t_elapsed_s RSS_MB
0 7.06
1 818.13
2 2231.64
3 228.95
4 352.69
5 352.69
6 345.61
7 345.61
8 353.60
9 353.60
10 353.60
11 353.60
12 839.67
13 839.67
14 839.67
15 840.18
16 841.47
17 843.02
18 844.31
19 845.60
20 846.89
21 848.18
22 849.46
23 851.01
24 852.30
25 853.85
26 855.14
28 856.43
29 857.71
30 859.00
31 860.29
32 861.84
33 862.36
34 862.36
35 862.36
36 862.36
37 862.36
38 863.13
39 863.13
40 863.13
41 251.36
42 2034.03
43 2034.03
44 2034.03
45 2034.03
46 2034.03
47 2034.03
48 2034.03
49 2034.03
50 2034.03
51 2034.03
52 2034.03
53 2034.03
54 2034.03
55 2034.03
56 2034.03
57 2034.03
58 2034.03
59 2034.03
60 2034.03
61 2034.03
62 2034.03
63 2034.03
64 2034.03
65 2034.03
66 2034.03
67 2034.03
68 2034.03
69 2034.03
70 2034.03
71 2034.03
72 2034.03
73 2034.03
74 2034.03
75 2034.03
76 2034.03
77 2034.03
78 2034.03
79 2034.03
80 2034.03
